dept,name
1,VITAMINS
2,VITAMINS_FOODSTAMP
3,BATH&BODY_FOODSTAMP
4,BATH&BODY
5,SUNDRIES_FOODSTAMP
6,HOUSEWARES
7,SUNDRIES
8,BOOKS&GIFTS
10,BEER&WINE
11,HERBS
12,PRODUCE
13,REFRIGERATED
14,CHEESE
15,PACKAGED
16,BULK
17,BAKERY
19,FROZEN
20,PAID_IN
21,BOTTLE_DEPOSIT
22,PAID_OUT
23,BAG_CREDITS
24,DISCOUNT_ADJ+
25,DISCOUNT_ADJ-
31,HERBS_NON_FOODSTAMP
32,PRODUCE_NON_FOODSTAMP
33,REFRIGERATED_NON_FOODSTAMP
34,CHEESE_NON_FOODSTAMP
35,PACKAGED_NON_FOODSTAMP
36,BULK_NON_FOODSTAMP
37,BAKERY_NON_FOODSTAMP
39,FROZEN_NON_FOODSTAMP
